DRUID,SPID,AccountID,SerialNumber,CustomerFirstName,CustomerLastName,CustomerFullName,PremiseAddress,PremiseCity,PremiseState,PremiseZip,FullAddress,EnrollmentStatus,EnrollmentDate,DeviceType,MACAddress,DeviceStatus,DeviceInstallDate
8161586699,8236728926,9061448456,5887411252,Blanca,Newton,Blanca Newton,817 N. Harvey St,San Diego,CA,92114,"817 N. Harvey St , San Diego , CA , 92114",Enrolled,6/27/2019,A,5953974531,Connected,6/27/2019
2961001182,5125159347,1804892775,788120348,Essie,Perkins,Essie Perkins,123 Taylor St,Pacoima,CA,91331,"123 Taylor St , Pacoima , CA , 91331",Unenrolled,8/5/2019,B,7434013166,Disconnected,8/5/2019
8140065496,6572125203,4382554257,3510409777,Madaline ,Warner,Madaline  Warner,8082 West Third Dr.,Oceanside,CA,92056,"8082 West Third Dr. , Oceanside , CA , 92056",Suspended,9/13/2019,B,7255466,Disconnected,9/13/2019
5428442324,9890856642,3974506486,3884388551,Michael,Schultz,Michael Schultz,490 Roehampton St.,Tustin,CA,92780,"490 Roehampton St. , Tustin , CA , 92780",Error,10/21/2019,B,7766015171,Disconnected,10/21/2019
3482765097,1925072059,8874367272,6821713282,Leon,Benson,Leon Benson,206 Holly Street,El Cajon,CA,92020,"206 Holly Street , El Cajon , CA , 92020",Pending,12/7/2019,A,9257318806,Connected,12/7/2019
8728471990,4652688903,4084106746,5373329535,Alice,Valdez,Alice Valdez,2 Rock Creek Rd.,Bakersfield,CA,93309,"2 Rock Creek Rd. , Bakersfield , CA , 93309",Unenrolled,12/17/2019,A,9859422427,Connected,12/17/2019
356515904,784343508,7302339439,3813155868,Forrest,Weber,Forrest Weber,21 Illinois Ave.,Fairfield,CA,94533,"21 Illinois Ave. , Fairfield , CA , 94533",Unenrolled,1/11/2020,A,910603249,Connected,1/11/2020
3800371933,7379738041,2755719539,9600766707,Phillip,Ramsey,Phillip Ramsey,9813 High Noon,San Jose,CA,95111,"9813 High Noon , San Jose , CA , 95111",Unenrolled,1/25/2020,A,8433524128,Connected,1/25/2020
5333465718,22177968,7088472133,6336665733,Vicki ,Lawson,Vicki  Lawson,40 Sheffield Court,Santee,CA,92071,"40 Sheffield Court , Santee , CA , 92071",Unenrolled,3/1/2020,A,787128706,Connected,3/1/2020
7475889988,266834753,820036342,4217567531,Lawrence,Casey,Lawrence Casey,7588 SW. Front Street,Chula Vista,CA,91910,"7588 SW. Front Street , Chula Vista , CA , 91910",Enrolled,3/25/2020,A,9295319104,Connected,3/25/2020
7971079438,3377322657,1206901256,7758666308,Peggy,Gomez,Peggy Gomez,766 Del Monte Street,Modesto,CA,95350,"766 Del Monte Street , Modesto , CA , 95350",Enrolled,8/28/2020,A,1687412532,Connected,8/28/2020
1114604510,9870485198,7305425024,1740228867,Bryan,Garner,Bryan Garner,11 Sheffield Ave.,Hacienda Heights,CA,91745,"11 Sheffield Ave. , Hacienda Heights , CA , 91745",Enrolled,10/27/2020,A,3455662934,Connected,10/27/2020
1890513041,4844837534,2713276280,5021788803,Norman,Rose,Norman Rose,881 State Dr.,Pittsburg,CA,94565,"881 State Dr. , Pittsburg , CA , 94565",Enrolled,12/20/2020,B,6461991696,Connected,12/20/2020
3069256208,4707915127,7028883522,7379734833,Brian,Harvey,Brian Harvey,250 Summerhouse,Costa Mesa,CA,92627,"250 Summerhouse , Costa Mesa , CA , 92627",Enrolled,5/2/2021,B,8289321904,Connected,5/2/2021
670321883,7715146286,7198000514,3707350909,Jeffery,Neal,Jeffery Neal,560 Amherst Rd.,Salinas,CA,93905,"560 Amherst Rd. , Salinas , CA , 93905",Suspended,7/5/2021,B,2350166358,Connected,7/5/2021
8059409756,4419658446,5546154593,7731051567,Lula,Hubbard,Lula Hubbard,8103 Strawberry Court,Victorville,CA,92392,"8103 Strawberry Court , Victorville , CA , 92392",Unenrolled,11/30/2021,B,5813798345,Connected,11/30/2021
2736411387,912902273,8806887145,9158955081,Earnest,Bennett,Earnest Bennett,550 Fremont Street,Paramount,CA,90723,"550 Fremont Street , Paramount , CA , 90723",Pending,3/9/2022,B,3251068740,Connected,3/9/2022
1856872050,333665617,9724476573,1951212585,Penny ,Young,Penny  Young,4 Blue Spring Lane,Daly City,CA,94015,"4 Blue Spring Lane , Daly City , CA , 94015",Suspended,4/5/2022,A,2003008637,Connected,4/5/2022
2564385919,2229374318,5928968676,5580378304,Oscar,Buchanan,Oscar Buchanan,937 Hanover St.,Tracy,CA,95376,"937 Hanover St. , Tracy , CA , 95376",Unenrolled,6/28/2022,A,5417205610,Connected,6/28/2022
3400636306,6008880308,4600973168,510518494,Artie,Robinson,Artie Robinson,663 Peachtree Lane,Milpitas,CA,95035,"663 Peachtree Lane , Milpitas , CA , 95035",Pending,10/6/2022,A,4012577183,Connected,10/6/2022
7683467003,4113715868,5759341520,5367403555,Garrett,Diaz,Garrett Diaz,9931 Vale Street,Los Angeles,CA,90026,"9931 Vale Street , Los Angeles , CA , 90026",Enrolled,10/19/2022,A,3613679440,Connected,10/19/2022
2739498887,3374420373,7145925313,3330703632,Iris,Murray,Iris Murray,1001 S. Olive St.,Los Angeles,CA,90015,"1001 S. Olive St. , Los Angeles , CA , 90015",Suspended,12/12/2022,A,3493081291,Disconnected,12/12/2022
4636978610,7878485471,6532811096,9900000645,Kelvin,Larson,Kelvin Larson,91 Hillcrest Drive,Los Angeles,CA,90019,"91 Hillcrest Drive , Los Angeles , CA , 90019",Enrolled,6/19/2023,A,3514364245,Disconnected,6/19/2023
4924491048,9564612687,7038094084,1290233807,Erin,Price,Erin Price,5 South Liberty Street,Chino,CA,91710,"5 South Liberty Street , Chino , CA , 91710",Suspended,11/17/2023,A,4025205653,Disconnected,11/17/2023
8434398219,2957133269,642739470,1377136220,Derek,Russell,Derek Russell,9516 South Lawrence,San Pablo,CA,94806,"9516 South Lawrence , San Pablo , CA , 94806",Enrolled,1/8/2024,A,2442272541,Disconnected,1/8/2024
9175993818,9775643119,771890658,8300252751,Gertude,Fields,Gertude Fields,532 Archie Drive,Bakersfield,CA,93307,"532 Archie Drive , Bakersfield , CA , 93307",Unenrolled,5/20/2020,A,897521170,Disconnected,5/20/2020
